Tool Name,Problem Name,Hessian dim,Hessian NNZ,# of Eq Constraints,Eq Constraint NNZ,# of Ineq Const,Ineq Constraint NNZ,# of Threads,eps_abs,Outer GMRES Iter,Inner GMRES Iter,GMRES Tol,Diagonal Pert,Status,# of Iterations,Time (s),Active-set Size,Constraint Satisfaction Inf,Residual Lagrangian inf,Primal Obj,Dual Obj,Obj Value,Non-negativity Inf,Complementarity Inf,Problem Type,Problem Class,
NASOQ-TUNED,knight_falling0,7425,127764,0,0,34,102,8,1e-06,2,2,1e-15,1e-09,1,31,0.460174,27,4.44089e-16,1.3272e-12,-1016.02,5.02322e-15,-1016.02,0,2.91007e-15,contact simulation,computer graphics,
NASOQ-TUNED,knight_falling1,7425,127764,0,0,131,393,8,1e-06,2,2,1e-15,1e-09,1,64,1.00981,62,2.66454e-15,1.19993e-12,-616.947,-9.97333e-16,-616.947,0,9.54846e-15,contact simulation,computer graphics,
NASOQ-TUNED,knight_knight0,14850,255528,0,0,30,720,8,1e-06,2,2,1e-15,1e-09,1,21,0.660386,19,7.53841e-14,5.38458e-15,-665.257,7.7e-17,-665.257,0,5.59102e-17,contact simulation,computer graphics,
NASOQ-TUNED,knight_knight10,14850,255528,0,0,240,5760,8,1e-06,2,2,1e-15,1e-09,1,86,2.05715,62,8.82176e-14,1.23235e-14,-574.972,1.43991e-15,-574.972,3.46945e-18,5.14287e-16,contact simulation,computer graphics,
NASOQ-TUNED,knight_knight11,14850,255528,0,0,234,5616,8,1e-06,2,2,1e-15,1e-09,1,71,1.87333,65,3.56009e-15,7.27196e-15,-555.609,1.08385e-15,-555.609,0,5.80381e-16,contact simulation,computer graphics,
NASOQ-TUNED,knight_knight12,14850,255528,0,0,240,5760,8,1e-06,2,2,1e-15,1e-09,1,84,2.01196,68,5.64826e-15,9.27036e-15,-535.513,2.84628e-15,-535.513,0,5.54828e-16,contact simulation,computer graphics,
NASOQ-TUNED,knight_knight13,14850,255528,0,0,213,5112,8,1e-06,2,2,1e-15,1e-09,1,88,2.22885,68,2.05033e-14,8.13932e-15,-514.46,1.04795e-15,-514.46,0,9.61359e-16,contact simulation,computer graphics,
NASOQ-TUNED,knight_knight14,14850,255528,0,0,270,6480,8,1e-06,2,2,1e-15,1e-09,1,92,2.72218,80,9.2315e-14,1.25062e-11,-492.318,-1.35191e-15,-492.318,8.67362e-19,2.88757e-16,contact simulation,computer graphics,
NASOQ-TUNED,knight_knight15,14850,255528,0,0,231,5544,8,1e-06,2,2,1e-15,1e-09,1,115,2.68244,79,5.65845e-14,7.88258e-15,-471.147,-1.17792e-15,-471.147,0,4.5748e-16,contact simulation,computer graphics,
NASOQ-TUNED,knight_knight16,14850,255528,0,0,300,7200,8,1e-06,2,2,1e-15,1e-09,1,110,2.59019,82,2.24586e-14,2.28028e-11,-451.15,-7.32697e-16,-451.15,8.67362e-19,6.08164e-16,contact simulation,computer graphics,
NASOQ-TUNED,knight_knight17,14850,255528,0,0,312,7488,8,1e-06,2,2,1e-15,1e-09,1,95,2.38749,77,3.85317e-14,8.33014e-15,-432.101,8.86397e-16,-432.101,8.67362e-19,2.84225e-15,contact simulation,computer graphics,
NASOQ-TUNED,knight_knight18,14850,255528,0,0,222,5328,8,1e-06,2,2,1e-15,1e-09,1,78,1.98908,66,4.24313e-14,8.22259e-15,-417.891,-5.16176e-17,-417.891,0,3.34056e-16,contact simulation,computer graphics,
NASOQ-TUNED,knight_knight19,14850,255528,0,0,654,15696,8,1e-06,2,2,1e-15,1e-09,1,297,8.05233,189,2.02782e-13,4.05296e-07,-396.414,1.40584e-12,-396.414,3.46945e-18,9.12002e-13,contact simulation,computer graphics,
NASOQ-TUNED,knight_knight1,14850,255528,0,0,48,1152,8,1e-06,2,2,1e-15,1e-09,1,38,0.928468,30,3.24463e-14,1.17406e-14,-658.503,-7.08737e-17,-658.503,0,2.45377e-16,contact simulation,computer graphics,
NASOQ-TUNED,knight_knight2,14850,255528,0,0,75,1800,8,1e-06,2,2,1e-15,1e-09,1,52,1.33845,38,1.46605e-13,1.02141e-14,-645.657,-7.51325e-16,-645.657,0,7.57328e-16,contact simulation,computer graphics,
NASOQ-TUNED,knight_knight3,14850,255528,0,0,57,1368,8,1e-06,2,2,1e-15,1e-09,1,25,0.681923,23,4.62771e-14,6.32827e-15,-638.065,-1.4483e-15,-638.065,0,2.01641e-15,contact simulation,computer graphics,
NASOQ-TUNED,knight_knight4,14850,255528,0,0,36,864,8,1e-06,2,2,1e-15,1e-09,1,14,0.471609,14,3.57284e-14,5.10703e-15,-633.11,6.48867e-16,-633.11,0,4.91821e-16,contact simulation,computer graphics,
NASOQ-TUNED,knight_knight5,14850,255528,0,0,60,1440,8,1e-06,2,2,1e-15,1e-09,1,20,0.542961,18,3.88578e-14,5.91194e-15,-634.166,3.02594e-16,-634.166,1.73472e-18,2.08163e-16,contact simulation,computer graphics,
NASOQ-TUNED,knight_knight6,14850,255528,0,0,108,2592,8,1e-06,2,2,1e-15,1e-09,1,47,1.32445,41,4.85008e-15,7.21645e-15,-623.867,7.28267e-16,-623.867,0,2.33575e-16,contact simulation,computer graphics,
NASOQ-TUNED,knight_knight7,14850,255528,0,0,165,3960,8,1e-06,2,2,1e-15,1e-09,1,57,1.31196,51,3.30669e-14,1.12133e-14,-614.979,-1.52736e-15,-614.979,0,5.25856e-16,contact simulation,computer graphics,
NASOQ-TUNED,knight_knight8,14850,255528,0,0,159,3816,8,1e-06,2,2,1e-15,1e-09,1,48,1.17845,40,2.0382e-13,7.04992e-15,-603.9,-9.76788e-16,-603.9,0,1.22647e-15,contact simulation,computer graphics,
NASOQ-TUNED,knight_knight9,14850,255528,0,0,162,3888,8,1e-06,2,2,1e-15,1e-09,1,68,1.80764,52,1.03735e-13,1.00475e-14,-592.911,2.14444e-16,-592.911,4.33681e-19,2.72004e-16,contact simulation,computer graphics,
